date,apple,iphone
2006-12,17,1
2007-01,19,9
2007-02,15,3
2007-03,15,2
2007-04,14,2
2007-05,13,2
2007-06,16,10
2007-07,15,12
2007-08,15,6
2007-09,20,10
2007-10,19,10
2007-11,19,14
2007-12,20,14
2008-01,20,13
2008-02,18,13
2008-03,16,14
2008-04,16,13
2008-05,15,14
2008-06,17,22
2008-07,18,32
2008-08,17,27
2008-09,20,23
2008-10,19,21
2008-11,18,20
2008-12,20,23
2009-01,17,20
2009-02,15,20
2009-03,15,21
2009-04,15,19
2009-05,14,21
2009-06,18,37
2009-07,16,28
2009-08,17,28
2009-09,19,28
2009-10,19,27
2009-11,20,27
2009-12,19,30
2010-01,23,30
2010-02,17,28
2010-03,16,29
2010-04,18,33
2010-05,17,31
2010-06,23,54
2010-07,21,51
2010-08,21,50
2010-09,24,47
2010-10,22,44
2010-11,23,44
2010-12,23,47
2011-01,21,49
2011-02,19,44
2011-03,23,43
2011-04,21,46
2011-05,22,44
2011-06,21,44
2011-07,21,48
2011-08,22,49
2011-09,22,53
2011-10,39,78
2011-11,27,57
2011-12,27,58
2012-01,25,56
2012-02,22,49
2012-03,27,50
2012-04,22,48
2012-05,20,45
2012-06,22,48
2012-07,22,52
2012-08,23,53
2012-09,41,100
2012-10,31,61
2012-11,29,56
2012-12,28,56
2013-01,24,52
2013-02,23,52
2013-03,21,50
2013-04,20,46
2013-05,19,46
2013-06,21,49
2013-07,20,48
2013-08,21,48
2013-09,34,77
2013-10,28,54
2013-11,26,50
2013-12,24,51
2014-01,21,48
2014-02,19,46
2014-03,19,47
2014-04,19,42
2014-05,19,44
2014-06,19,45
2014-07,19,48
2014-08,21,51
2014-09,37,89
2014-10,28,57
2014-11,25,52
2014-12,25,56
2015-01,21,47
2015-02,20,44
2015-03,24,44
2015-04,23,44
2015-05,21,44
2015-06,22,43
2015-07,23,48
2015-08,23,48
2015-09,32,60
2015-10,27,57
2015-11,26,50
2015-12,25,51
2016-01,22,48
2016-02,21,43
2016-03,22,49
2016-04,21,46
2016-05,21,44
2016-06,19,46
2016-07,20,50
2016-08,20,48
2016-09,34,77
2016-10,28,54
2016-11,26,51
2016-12,26,53
2017-01,23,48
2017-02,21,43
2017-03,21,45
2017-04,20,43
2017-05,20,43
2017-06,21,44
2017-07,22,46
2017-08,22,48
2017-09,31,69
2017-10,27,55
2017-11,29,62
2017-12,28,60
2018-01,24,50
2018-02,22,45
2018-03,21,44
2018-04,20,41
2018-05,21,39
2018-06,22,43
2018-07,21,44
2018-08,22,44
2018-09,29,54
2018-10,26,45
2018-11,28,47
2018-12,27,49
2019-01,24,43
2019-02,21,42
2019-03,23,36
2019-04,20,37
2019-05,20,37
2019-06,21,39
2019-07,22,40
2019-08,25,43
2019-09,56,64
2019-10,27,50
2019-11,29,49
2019-12,28,51
2020-01,26,46
2020-02,21,41
2020-03,21,38
2020-04,26,45
2020-05,25,43
2020-06,25,45
2020-07,25,44
2020-08,27,43
2020-09,32,44
2020-10,32,56
2020-11,30,54
2020-12,32,48
2021-01,26,45
2021-02,24,41
2021-03,23,39
2021-04,22,39
2021-05,23,39
2021-06,23,38
2021-07,22,40
2021-08,24,41
2021-09,30,55
2021-10,29,49
2021-11,29,48
2021-12,29,51
2022-01,29,48
2022-02,25,43
2022-03,26,45
2022-04,23,44
2022-05,24,44
2022-06,25,45
2022-07,26,47
2022-08,26,46
2022-09,34,63
2022-10,28,50
2022-11,29,46
2022-12,28,48
2023-01,27,49
2023-02,25,45
2023-03,22,42
2023-04,23,41
2023-05,24,43
2023-06,26,44
2023-07,26,46
2023-08,25,47
2023-09,32,63
2023-10,28,50
2023-11,28,48
2023-12,29,48
2024-01,28,43
2024-02,29,43
2024-03,26,43
2024-04,24,43
2024-05,26,42
2024-06,27,44
2024-07,25,45
2024-08,26,46
2024-09,34,58
2024-10,31,47
2024-11,32,48
2024-12,34,52
2025-01,30,47
2025-02,29,46
2025-03,27,45
2025-04,27,45
2025-05,27,43
